,maxx,i,j,orders_long,orders_short,alpha
115,11.313783981920153,8,0.1,28,62,509.1202791864069
113,11.20549274396732,8,0.08,33,57,504.24717347852936
114,11.092199522957086,8,0.09,31,59,499.1489785330689
116,10.424498332539734,8,0.11,27,63,469.10242496428805
131,9.575561801995802,9,0.11,30,60,430.9002810898111
130,9.53737919061181,9,0.1,31,59,429.1820635775315
132,8.862659901056633,9,0.12,29,61,398.81969554754846
100,7.664473107672549,7,0.1,27,63,344.9012898452647
117,7.5985519493124185,8,0.12,26,64,341.9348377190588
88,7.493019495833335,6,0.13,19,71,337.18587731250005
105,7.3356521389463305,8,0.0,54,36,330.1043462525849
118,7.2772097998920735,8,0.13,25,65,327.4744409951433
123,6.933211918720763,9,0.03,49,41,311.99453634243434
75,6.8971140018437085,6,0.0,56,34,310.3701300829669
121,6.878675495094633,9,0.01,50,40,309.5403972792585
52,6.819205968297609,4,0.07,19,71,306.86426857339245
125,6.756941028065376,9,0.05,44,46,304.0623462629419
110,6.718875958840728,8,0.05,43,47,302.34941814783275
124,6.67319746296345,9,0.04,47,43,300.29388583335526
90,6.673124985167137,7,0.0,56,34,300.29062433252113
126,6.542929454827229,9,0.06,43,47,294.43182546722534
120,6.371595372992889,9,0.0,52,38,286.72179178468
53,6.325880576125736,4,0.08,18,72,284.66462592565813
61,6.253233532707691,5,0.01,49,41,281.3955089718461
45,6.095712303560051,4,0.0,51,39,274.30705366020226
107,5.925708749233357,8,0.02,49,41,266.6568937155011
13,5.907604297849152,1,0.13,2,88,265.8421934032118
47,5.852704337455919,4,0.02,45,45,263.3716951855164
46,5.841659260200115,4,0.01,48,42,262.87466670900517
82,5.749289661886003,6,0.07,32,58,258.71803478487016
109,5.693821236191201,8,0.04,44,46,256.221955628604
60,5.621237858744537,5,0.0,53,37,252.95570364350414
62,5.496192489737295,5,0.02,47,43,247.32866203817827
54,5.33795443402572,4,0.09,15,75,240.2079495311574
104,5.06029359436589,7,0.14,20,70,227.71321174646508
89,5.0520670882736205,6,0.14,16,74,227.34301897231293
108,5.0471109051854635,8,0.03,45,45,227.11999073334584
101,5.044450220915897,7,0.11,25,65,227.00025994121535
102,5.042498812198365,7,0.12,24,66,226.91244654892643
103,4.991468847915143,7,0.13,23,67,224.61609815618144
127,4.795674142222294,9,0.07,38,52,215.80533640000326
119,4.714352321243631,8,0.14,22,68,212.1458544559634
111,4.411836236661575,8,0.06,38,52,198.53263064977088
79,4.352399964956036,6,0.04,40,50,195.85799842302163
91,4.290525178242668,7,0.01,51,39,193.07363302092008
93,4.286010961171627,7,0.03,44,46,192.8704932527232
57,4.05874672993962,4,0.12,12,78,182.6436028472829
78,4.044185897254744,6,0.03,42,48,181.9883653764635
92,4.0034552932188125,7,0.02,46,44,180.15548819484655
80,3.7814818185023613,6,0.05,36,54,170.16668183260626
133,3.711148442879638,9,0.13,26,64,167.0016799295837
77,3.6840540110409985,6,0.02,46,44,165.78243049684494
76,3.5924939491178365,6,0.01,49,41,161.66222771030263
58,3.5338289081118206,4,0.13,10,80,159.02230086503192
51,3.496641844730898,4,0.06,21,69,157.3488830128904
56,3.369883883464158,4,0.11,13,77,151.6447747558871
81,3.2483140174644363,6,0.06,34,56,146.17413078589962
112,3.0862271854445495,8,0.07,35,55,138.88022334500474
64,3.057274065241489,5,0.04,36,54,137.57733293586702
63,2.8760113695236824,5,0.03,39,51,129.42051162856572
85,2.8661952760180616,6,0.1,25,65,128.97878742081278
94,2.83936498328756,7,0.04,42,48,127.7714242479402
73,2.8201887732551376,5,0.13,15,75,126.9084947964812
65,2.8137216783535814,5,0.05,34,56,126.61747552591116
95,2.679785504416976,7,0.05,39,51,120.59034769876392
128,2.678713600066062,9,0.08,35,55,120.54211200297279
97,2.5306616180218273,7,0.07,36,54,113.87977281098223
25,2.2771702394748976,2,0.1,6,84,102.47266077637039
31,2.2684986691157474,3,0.01,48,42,102.08244011020864
84,2.2330286340498104,6,0.09,28,62,100.48628853224147
74,2.215916876577998,5,0.14,14,76,99.71625944600991
48,2.136119528954476,4,0.03,40,50,96.12537880295143
86,2.115930457423712,6,0.11,22,68,95.21687058406704
49,2.098428211674954,4,0.04,36,54,94.42926952537294
32,2.0924418371272435,3,0.02,44,46,94.15988267072596
66,2.0062671210456373,5,0.06,30,60,90.28202044705368
129,1.9740332006790668,9,0.09,33,57,88.831494030558
83,1.9376944358997343,6,0.08,30,60,87.19624961548804
30,1.8656288626683208,3,0.0,52,38,83.95329882007444
67,1.5238711518223818,5,0.07,28,62,68.57420183200718
69,1.426425069044632,5,0.09,22,68,64.18912810700844
68,1.3432082038459907,5,0.08,23,67,60.44436917306958
59,0.6865426080777591,4,0.14,8,82,30.894417363499162
98,0.39687774967097145,7,0.08,31,59,17.859498735193714
40,0.34386528221834145,3,0.1,9,81,15.473937699825365
87,0.33409346419149066,6,0.12,21,69,15.03420588861708
99,-0.18437517445953638,7,0.09,29,61,-8.296882850679138
15,-0.42172655542310833,2,0.0,55,35,-18.977694994039876
17,-0.5128674029128318,2,0.02,40,50,-23.079033131077434
16,-0.5355896617898772,2,0.01,47,43,-24.101534780544476
0,-0.6042150740502502,1,0.0,47,43,-27.18967833226126
43,-0.7350403225541006,3,0.13,8,82,-33.076814514934526
33,-0.7648111271763008,3,0.03,36,54,-34.416500722933534
19,-0.9594542405771421,2,0.04,23,67,-43.17544082597139
2,-1.0057393474419913,1,0.02,30,60,-45.25827063488961
44,-1.1227722054620322,3,0.14,7,83,-50.52474924579145
18,-1.2081718977134563,2,0.03,31,59,-54.367735397105534
3,-1.2792449196666131,1,0.03,24,66,-57.56602138499759
1,-1.433365731551315,1,0.01,38,52,-64.50145791980918
36,-1.4439371905173262,3,0.06,23,67,-64.97717357327967
4,-1.461115598523213,1,0.04,20,70,-65.75020193354459
20,-1.5440320125759517,2,0.05,20,70,-69.48144056591782
28,-1.7900243855011446,2,0.13,5,85,-80.5510973475515
71,-1.8181002310553875,5,0.11,18,72,-81.81451039749244
34,-1.8556012889755262,3,0.04,31,59,-83.50205800389868
70,-2.012668078119149,5,0.1,19,71,-90.57006351536171
37,-2.105478091805633,3,0.07,16,74,-94.74651413125349
35,-2.1068033787918474,3,0.05,26,64,-94.80615204563314
5,-2.1077088626032183,1,0.05,13,77,-94.84689881714482
21,-2.1110841886186247,2,0.06,17,73,-94.99878848783811
72,-2.2582814035398684,5,0.12,17,73,-101.62266315929408
29,-2.2654678230392022,2,0.14,2,88,-101.9460520367641
6,-2.296469628559129,1,0.06,10,80,-103.3411332851608
50,-2.3829543700206823,4,0.05,26,64,-107.2329466509307
38,-3.5515248811409146,3,0.08,14,76,-159.81861965134115
39,-4.214644509736494,3,0.09,12,78,-189.6590029381422
22,-4.228621266126924,2,0.07,12,78,-190.28795697571155
8,-5.033940527252493,1,0.08,3,87,-226.52732372636217
23,-5.869136353238149,2,0.08,9,81,-264.1111358957167
7,-5.950909067460664,1,0.07,5,85,-267.7909080357299
