,time,price,paid,size,order,type,close_time,close_price,profit,perc,TP,SL
0,2019-03-27,139.58944999999997,10.024999999999999,0.07163865177490134,long,close,2019-04-24,164.61522,1.7560196100063443,0.17516405087345083,0,0.0
1,2019-04-24,164.61522,10.024999999999999,0.06074772429912617,short,close,2019-05-03,168.22805999999997,-0.18425233644859773,-0.01837928543128157,0,329.23044
2,2019-05-03,168.22805999999997,10.024999999999999,0.05944311549452572,long,close,2019-05-04,163.53629999999998,-0.3136139387210406,-0.031283185907335725,0,0.0
3,2019-05-04,163.53629999999998,10.024999999999999,0.06114850342095303,short,close,2019-05-06,173.17299999999997,-0.5536805131337807,-0.05522997637244696,0,327.07259999999997
4,2019-05-06,173.17299999999997,10.024999999999999,0.05774572248560689,long,close,2019-06-03,249.66009,4.377385470598769,0.43664692973553815,0,0.0
5,2019-06-03,249.66009,10.024999999999999,0.04005445964551242,short,close,2019-06-12,261.41114999999996,-0.4352116762034317,-0.04341263603026751,0,499.32018
6,2019-06-12,261.41114999999996,10.024999999999999,0.03825391533605205,long,close,2019-06-13,254.41532999999998,-0.3023498884802702,-0.03015958987334367,0,0.0
7,2019-06-13,254.41532999999998,10.024999999999999,0.039305807554914245,short,close,2019-06-14,262.73247,-0.2915849923430329,-0.029085784772372364,0,508.83065999999997
8,2019-06-14,262.73247,10.024999999999999,0.038061530803558466,long,close,2019-07-04,282.44727,0.71462509201851,0.07128429845571173,0,0.0
9,2019-07-04,282.44727,10.024999999999999,0.035404838573939834,short,close,2019-07-07,305.02472,-0.7635516216885367,-0.07616475029312088,0,564.89454
10,2019-07-07,305.02472,10.024999999999999,0.032784228111085556,long,close,2019-07-10,288.94077000000004,-0.5617725858415632,-0.056037165669981376,0,0.0
11,2019-07-10,288.94077000000004,10.024999999999999,0.03460916920793143,short,close,2019-08-02,217.82761,2.493706219963351,0.24874875012103256,0,577.8815400000001
12,2019-08-02,217.82761,10.024999999999999,0.04590786264422587,long,close,2019-08-09,210.31947,-0.37933797717378326,-0.037839199718083125,0,0.0
13,2019-08-09,210.31947,10.024999999999999,0.04754671548002665,short,close,2019-09-08,181.37118999999998,1.4100192371633486,0.14065029797140638,0,420.63894
14,2019-09-08,181.37118999999998,10.024999999999999,0.05513554826430814,long,close,2019-09-11,178.10172,-0.21508375696272175,-0.021454738849149304,0,0.0
15,2019-09-11,178.10172,10.024999999999999,0.05614768908464219,short,close,2019-09-12,180.90071999999998,-0.12200022436616464,-0.012169598440515178,0,356.20344
16,2019-09-12,180.90071999999998,10.024999999999999,0.05527893974109114,long,close,2019-09-24,165.64419,-0.8775214377256191,-0.08753331049632111,0,0.0
17,2019-09-24,165.64419,10.024999999999999,0.06037036372963036,short,close,2019-10-09,192.81261999999998,-1.6035278330619374,-0.15995290105355986,0,331.28838
18,2019-10-09,192.81261999999998,10.024999999999999,0.05186382509609589,long,open,2019-10-09,192.81261999999998,0,0,0,0.0
